seed,condition,training_blocks,p_choose_A,value_A,value_B
1,nonselective_reward,1,0.5001491363649299,0.04608874083944037,0.04596943174395829
1,nonselective_reward,2,0.5002806149631113,0.08985657476349096,0.0896320827694318
1,nonselective_reward,3,0.500396058772316,0.13143376285966168,0.1311169157755403
1,nonselective_reward,4,0.500496953992144,0.1709424216667873,0.1705448583421607
1,nonselective_reward,5,0.5005846611457783,0.20849707899082126,0.20802934986102095
1,nonselective_reward,6,0.5006604252972495,0.2442051894533428,0.24367684890828722
1,nonselective_reward,7,0.5007253854538264,0.27816761279738655,0.2775873040271929
1,nonselective_reward,8,0.50078058321775,0.3104790577433697,0.30985459066184384
1,nonselective_reward,9,0.5008269707465494,0.3412284939740159,0.3405669167735229
1,nonselective_reward,10,0.5008654180765523,0.3704995346298704,0.3698071994772636
1,nonselective_reward,11,0.5008967198599491,0.39837079151496924,0.39765341485787964
1,nonselective_reward,12,0.5009216015618194,0.4249162050442731,0.4241789229598699
1,nonselective_reward,13,0.5009407251598949,0.4502053508095164,0.4494527697935904
1,nonselective_reward,14,0.5009546943864751,0.4743037244971361,0.47353996805979615
1,nonselective_reward,15,0.5009640595488115,0.49727300676000297,0.49650175816521036
1,nonselective_reward,16,0.5009693219614189,0.5191713095229232,0.5183958509823081
1,nonselective_reward,17,0.5009709380211399,0.5400534050895145,0.5392766536962554
1,nonselective_reward,18,0.500969322953355,0.5599709393143576,0.5591954799801907
1,nonselective_reward,19,0.500964854255491,0.5789726300086183,0.5782007456461167
1,nonselective_reward,20,0.5009578748619284,0.597104451658989,0.5963381508319792
1,nonselective_reward,21,0.5009486960524806,0.6144098074582485,0.6136508497054893
1,nonselective_reward,22,0.5009376001248961,0.6309296895704732,0.6301796085913667
1,nonselective_reward,23,0.5009248428501918,0.6467028284844215,0.6459629533604799
1,nonselective_reward,24,0.5009106557281602,0.6617658322444652,0.6610373068563875
1,nonselective_reward,25,0.5008952480590027,0.6761533162891926,0.6754371170766411
